지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-12-01,4.6,22,1.6
108,서울,2019-12-02,-.1,,3.1
108,서울,2019-12-03,.5,6.42,1.6
108,서울,2019-12-04,2,.92,1.8
108,서울,2019-12-05,-4.4,,3.2
108,서울,2019-12-06,-5.9,,1.7
108,서울,2019-12-07,-2.4,3.75,1.7
108,서울,2019-12-08,-.9,,1.4
108,서울,2019-12-09,3.2,.33,2.5
108,서울,2019-12-10,8.1,2.08,1.2
108,서울,2019-12-11,6.3,1.25,3.4
108,서울,2019-12-12,-.7,,1.8
108,서울,2019-12-13,2.1,2.17,2
108,서울,2019-12-14,2.7,1.17,2.3
108,서울,2019-12-15,5.3,,2
108,서울,2019-12-16,7.8,,1.9
108,서울,2019-12-17,7.7,6.75,2.3
108,서울,2019-12-18,.8,,2.5
108,서울,2019-12-19,-.8,1.42,2.4
108,서울,2019-12-20,-1.1,.83,2.3
108,서울,2019-12-21,-1.2,3.25,1.7
108,서울,2019-12-22,4.1,1.08,1.7
108,서울,2019-12-23,3.4,3.58,2
108,서울,2019-12-24,.8,,1.4
108,서울,2019-12-25,2,,1
108,서울,2019-12-26,2,5.08,2.4
108,서울,2019-12-27,-1.7,,2.1
108,서울,2019-12-28,1.1,,2
108,서울,2019-12-29,3.8,6.75,2.9
108,서울,2019-12-30,2.7,5.08,2.9
108,서울,2019-12-31,-7.9,1.58,3.1
