지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-10-01,23.1,,1.8
108,서울,2019-10-02,21.6,14.17,3
108,서울,2019-10-03,22.4,8.33,2.8
108,서울,2019-10-04,22.4,,2.1
108,서울,2019-10-05,18.7,3.13,2.9
108,서울,2019-10-06,18.1,,2.9
108,서울,2019-10-07,14.8,17.17,1.8
108,서울,2019-10-08,14.7,,2.6
108,서울,2019-10-09,13.6,,1.7
108,서울,2019-10-10,15.2,,1.3
108,서울,2019-10-11,18.8,,1.9
108,서울,2019-10-12,17.9,,3.5
108,서울,2019-10-13,17.2,,1.9
108,서울,2019-10-14,14.4,,2.5
108,서울,2019-10-15,14.5,,1.6
108,서울,2019-10-16,14.6,,1.6
108,서울,2019-10-17,15.4,,1.7
108,서울,2019-10-18,17,,2.4
108,서울,2019-10-19,17,,1.8
108,서울,2019-10-20,16.5,,1.3
108,서울,2019-10-21,17.1,,1
108,서울,2019-10-22,18.1,,1.6
108,서울,2019-10-23,17,,2.4
108,서울,2019-10-24,18.3,,2.7
108,서울,2019-10-25,16.7,1.08,2.4
108,서울,2019-10-26,10,,2.5
108,서울,2019-10-27,11,,1.6
108,서울,2019-10-28,12.9,2.87,2.5
108,서울,2019-10-29,12.5,.92,2.3
108,서울,2019-10-30,11.2,,1.6
108,서울,2019-10-31,14.8,,2.3
