지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-03-01,6.6,,2.1
108,서울,2019-03-02,7.8,,1.1
108,서울,2019-03-03,9.4,,1.5
108,서울,2019-03-04,9.9,,1.9
108,서울,2019-03-05,8.4,,2
108,서울,2019-03-06,8.4,,2
108,서울,2019-03-07,7,,2.2
108,서울,2019-03-08,6.1,,1.9
108,서울,2019-03-09,7.2,,1.3
108,서울,2019-03-10,10.1,,1.2
108,서울,2019-03-11,6.6,1.5,1.8
108,서울,2019-03-12,3.9,.92,2.7
108,서울,2019-03-13,3.5,.58,3.3
108,서울,2019-03-14,5,.5,1.9
108,서울,2019-03-15,5.5,4.58,1.6
108,서울,2019-03-16,4.3,,1.8
108,서울,2019-03-17,6.3,,2
108,서울,2019-03-18,7.1,,1.4
108,서울,2019-03-19,10,,1.4
108,서울,2019-03-20,10.3,9.92,1.4
108,서울,2019-03-21,7.1,6.5,2.9
108,서울,2019-03-22,3.3,,2.8
108,서울,2019-03-23,3.3,1.75,2.4
108,서울,2019-03-24,4.3,,2.3
108,서울,2019-03-25,7.3,,2
108,서울,2019-03-26,11.4,,2
108,서울,2019-03-27,11.6,,3
108,서울,2019-03-28,9.4,,2.6
108,서울,2019-03-29,9.2,,2.1
108,서울,2019-03-30,5.2,14.67,2.9
108,서울,2019-03-31,4.4,3.67,3.2
