지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-06-01,18.9,,1.9
108,서울,2019-06-02,21.1,,1.7
108,서울,2019-06-03,23.1,,1.8
108,서울,2019-06-04,22.6,,2.2
108,서울,2019-06-05,23,,1.8
108,서울,2019-06-06,21.2,9.58,1.2
108,서울,2019-06-07,20,12.75,1.9
108,서울,2019-06-08,21.9,,1.4
108,서울,2019-06-09,21.6,3.5,1.8
108,서울,2019-06-10,18.4,8.92,1.6
108,서울,2019-06-11,20.5,,1.4
108,서울,2019-06-12,21.5,,1.8
108,서울,2019-06-13,23,,1.7
108,서울,2019-06-14,23,,1.8
108,서울,2019-06-15,21.9,.58,2.4
108,서울,2019-06-16,22,,1.6
108,서울,2019-06-17,21.7,.33,2.3
108,서울,2019-06-18,20.8,11.33,1.5
108,서울,2019-06-19,21.4,2.08,1.9
108,서울,2019-06-20,22.7,,1.9
108,서울,2019-06-21,22.1,.92,1.7
108,서울,2019-06-22,24.2,,1.5
108,서울,2019-06-23,25,,1.8
108,서울,2019-06-24,25.2,,2
108,서울,2019-06-25,25.6,,1.6
108,서울,2019-06-26,25.5,1.67,1.3
108,서울,2019-06-27,25.5,3.33,1.4
108,서울,2019-06-28,24.7,2.75,1.7
108,서울,2019-06-29,23.1,8.75,1.2
108,서울,2019-06-30,23.9,.17,2.3
