지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-02-01,-2.1,2.25,1.7
108,서울,2019-02-02,1.4,.42,1
108,서울,2019-02-03,3.3,19.67,1.7
108,서울,2019-02-04,-.6,,2.1
108,서울,2019-02-05,2.8,,1
108,서울,2019-02-06,5.1,,1.3
108,서울,2019-02-07,-2.1,4.17,3.5
108,서울,2019-02-08,-6.1,,2.3
108,서울,2019-02-09,-5.4,,2.7
108,서울,2019-02-10,-5,,1.7
108,서울,2019-02-11,-3,,2.3
108,서울,2019-02-12,-.6,2.25,1.9
108,서울,2019-02-13,-2.1,,2.4
108,서울,2019-02-14,-.5,,1.4
108,서울,2019-02-15,-.8,14.83,1.9
108,서울,2019-02-16,-2.7,3.42,2.6
108,서울,2019-02-17,-1.8,,1.9
108,서울,2019-02-18,.9,,1.3
108,서울,2019-02-19,1.4,11.58,1.4
108,서울,2019-02-20,1.7,2.33,2.1
108,서울,2019-02-21,2.4,,1.5
108,서울,2019-02-22,4,,1.5
108,서울,2019-02-23,6.8,,1.1
108,서울,2019-02-24,6.3,,1.8
108,서울,2019-02-25,4.7,,2.3
108,서울,2019-02-26,5.2,,1.6
108,서울,2019-02-27,7.8,,1.6
108,서울,2019-02-28,6.6,,2
