지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-08-01,26.3,8.75,1.7
108,서울,2019-08-02,28.4,,1.2
108,서울,2019-08-03,29.4,1.08,1.3
108,서울,2019-08-04,28.3,1.67,1.2
108,서울,2019-08-05,30.5,,1.1
108,서울,2019-08-06,31.6,,1.5
108,서울,2019-08-07,26.9,10.42,1.2
108,서울,2019-08-08,28.9,.25,1.6
108,서울,2019-08-09,29.8,,1.3
108,서울,2019-08-10,31.5,,1.5
108,서울,2019-08-11,30.4,4.08,2.5
108,서울,2019-08-12,26.6,17.92,1.3
108,서울,2019-08-13,29.2,.25,1.5
108,서울,2019-08-14,30.4,,1.5
108,서울,2019-08-15,25.9,9.75,1.3
108,서울,2019-08-16,25.9,1.5,2.2
108,서울,2019-08-17,25.9,.25,2.5
108,서울,2019-08-18,25.6,,1.7
108,서울,2019-08-19,26.3,,1.1
108,서울,2019-08-20,28.2,,1.5
108,서울,2019-08-21,27,4.92,1.2
108,서울,2019-08-22,26.9,,1.7
108,서울,2019-08-23,26.2,,2.1
108,서울,2019-08-24,24.1,,1.5
108,서울,2019-08-25,25,,1.5
108,서울,2019-08-26,26.4,,1.2
108,서울,2019-08-27,25.7,6.17,1
108,서울,2019-08-28,26.1,,1.9
108,서울,2019-08-29,23.4,3.33,2.2
108,서울,2019-08-30,22.6,2,2.4
108,서울,2019-08-31,23.5,,1.9
