지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-05-01,16.4,,2.3
108,서울,2019-05-02,17.1,,2.3
108,서울,2019-05-03,17.9,,1.6
108,서울,2019-05-04,19.5,,1.7
108,서울,2019-05-05,19.2,,2.2
108,서울,2019-05-06,14.5,.17,3.1
108,서울,2019-05-07,15,,2.3
108,서울,2019-05-08,15.6,,2.3
108,서울,2019-05-09,16.6,,2.2
108,서울,2019-05-10,17.8,,1.9
108,서울,2019-05-11,20.3,,1.8
108,서울,2019-05-12,21.6,,1.5
108,서울,2019-05-13,18.7,.17,1.6
108,서울,2019-05-14,19.6,,1.6
108,서울,2019-05-15,20.7,,1.7
108,서울,2019-05-16,23.5,,1.5
108,서울,2019-05-17,23.6,,1.2
108,서울,2019-05-18,22.8,.25,2.1
108,서울,2019-05-19,19.4,18.08,1.2
108,서울,2019-05-20,16.4,3.67,3.4
108,서울,2019-05-21,17.2,,2.9
108,서울,2019-05-22,19.5,,2.4
108,서울,2019-05-23,22.1,,1.7
108,서울,2019-05-24,24.2,,1.7
108,서울,2019-05-25,23.4,,1.6
108,서울,2019-05-26,24.5,,1.8
108,서울,2019-05-27,17.8,13.83,2.4
108,서울,2019-05-28,18.1,,2.6
108,서울,2019-05-29,20.3,,2
108,서울,2019-05-30,19.6,3.33,2.4
108,서울,2019-05-31,19.1,,2.8
