지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-11-01,14.9,,1.8
108,서울,2019-11-02,13.6,,1.5
108,서울,2019-11-03,14.7,,2.1
108,서울,2019-11-04,13.8,,2.1
108,서울,2019-11-05,12.4,,1.6
108,서울,2019-11-06,11,,1.8
108,서울,2019-11-07,9.2,,2.7
108,서울,2019-11-08,6.8,,1.9
108,서울,2019-11-09,9.5,,1.6
108,서울,2019-11-10,10,3.08,2.1
108,서울,2019-11-11,11.2,4.08,2.4
108,서울,2019-11-12,9.3,,1.4
108,서울,2019-11-13,7.2,5.83,2.8
108,서울,2019-11-14,1.3,,2.9
108,서울,2019-11-15,5.6,12.33,2
108,서울,2019-11-16,6.8,,1.6
108,서울,2019-11-17,8.3,13.58,3.1
108,서울,2019-11-18,4.6,6.25,3.9
108,서울,2019-11-19,.2,.5,2.8
108,서울,2019-11-20,.5,,1.8
108,서울,2019-11-21,4.2,,1.9
108,서울,2019-11-22,9.7,,2.1
108,서울,2019-11-23,12.1,,1.8
108,서울,2019-11-24,9.8,7.58,2.2
108,서울,2019-11-25,1.9,,2.7
108,서울,2019-11-26,6.6,,2
108,서울,2019-11-27,3.1,,2.7
108,서울,2019-11-28,3.5,,2
108,서울,2019-11-29,1.5,,2
108,서울,2019-11-30,4.1,,1.7
