지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-09-01,23.7,,1.4
108,서울,2019-09-02,24.4,,1.6
108,서울,2019-09-03,24.1,2.33,2.3
108,서울,2019-09-04,22.8,11.58,2.5
108,서울,2019-09-05,23,9.17,2
108,서울,2019-09-06,25.3,7.08,2.1
108,서울,2019-09-07,25.7,17.92,6
108,서울,2019-09-08,24.7,.58,1.9
108,서울,2019-09-09,25.1,2.17,1.7
108,서울,2019-09-10,23.8,19,2.4
108,서울,2019-09-11,24.3,6.67,3.1
108,서울,2019-09-12,21,10.5,2.6
108,서울,2019-09-13,23.3,.83,1.7
108,서울,2019-09-14,22.4,3,1.2
108,서울,2019-09-15,24.2,,1.7
108,서울,2019-09-16,24.5,,2.1
108,서울,2019-09-17,23.5,,2.1
108,서울,2019-09-18,21,,3.1
108,서울,2019-09-19,19.5,,1.9
108,서울,2019-09-20,19.6,,2.1
108,서울,2019-09-21,19.6,,2
108,서울,2019-09-22,18.6,6.33,3.8
108,서울,2019-09-23,20,,2.2
108,서울,2019-09-24,19.8,,1.8
108,서울,2019-09-25,20.9,,1.4
108,서울,2019-09-26,22.9,,1.9
108,서울,2019-09-27,22.9,,1.9
108,서울,2019-09-28,23.7,,1.7
108,서울,2019-09-29,22.6,,1.7
108,서울,2019-09-30,22.4,,1.6
