지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-04-01,5.5,,2.5
108,서울,2019-04-02,6.7,,2.2
108,서울,2019-04-03,7.6,,2.3
108,서울,2019-04-04,9.2,,2.5
108,서울,2019-04-05,11.4,2.83,2.9
108,서울,2019-04-06,9.3,4,1.1
108,서울,2019-04-07,12.6,,1.7
108,서울,2019-04-08,11.6,,2.5
108,서울,2019-04-09,9.2,8.42,2.4
108,서울,2019-04-10,7.1,15.5,1.8
108,서울,2019-04-11,9.5,,1.9
108,서울,2019-04-12,11.4,,2.2
108,서울,2019-04-13,11.8,,1.8
108,서울,2019-04-14,9.6,6.25,2.2
108,서울,2019-04-15,11.6,,1.8
108,서울,2019-04-16,14.9,,1.6
108,서울,2019-04-17,15.3,,1.9
108,서울,2019-04-18,12.6,.92,2
108,서울,2019-04-19,13.8,,1.6
108,서울,2019-04-20,14.3,4.25,1.9
108,서울,2019-04-21,14.8,3.33,1.9
108,서울,2019-04-22,19.3,,1.4
108,서울,2019-04-23,20.4,.75,1.3
108,서울,2019-04-24,19.5,7.67,1.6
108,서울,2019-04-25,13.2,12.5,2
108,서울,2019-04-26,8.4,14.17,1.5
108,서울,2019-04-27,11.6,,1.7
108,서울,2019-04-28,12.9,1.75,1.6
108,서울,2019-04-29,13,,.9
108,서울,2019-04-30,15.5,,1.6
