지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-01-01,-5,,2.1
108,서울,2019-01-02,-4.9,,1.7
108,서울,2019-01-03,-3.5,,1.4
108,서울,2019-01-04,-1.1,,1.2
108,서울,2019-01-05,-2.8,,2.2
108,서울,2019-01-06,-2.8,,1.2
108,서울,2019-01-07,-1.9,,1.4
108,서울,2019-01-08,-3.5,,2.6
108,서울,2019-01-09,-4.7,,1.3
108,서울,2019-01-10,-.6,,1.3
108,서울,2019-01-11,2.4,,1
108,서울,2019-01-12,2.8,,1.3
108,서울,2019-01-13,1.2,,1.4
108,서울,2019-01-14,1.4,,.9
108,서울,2019-01-15,-1.7,1,2.7
108,서울,2019-01-16,-5.2,3.75,2.3
108,서울,2019-01-17,-.3,2.83,1.7
108,서울,2019-01-18,.6,,1.3
108,서울,2019-01-19,3.6,,1.2
108,서울,2019-01-20,-1.4,,3.2
108,서울,2019-01-21,-1.2,2.75,1.6
108,서울,2019-01-22,1.7,,1.7
108,서울,2019-01-23,2,,2.3
108,서울,2019-01-24,.1,,1.7
108,서울,2019-01-25,-1.2,,2.6
108,서울,2019-01-26,-2.5,,2.4
108,서울,2019-01-27,-.1,,1.7
108,서울,2019-01-28,1.2,1.5,3.1
108,서울,2019-01-29,-.2,,1.5
108,서울,2019-01-30,1.8,,1.5
108,서울,2019-01-31,-2,,2.9
